OrderID,OrderDate,Region,Category,PaymentMethod,Quantity,UnitPrice,Revenue,CustomerAge
ORD1544,2025-11-08,East,Toys,Credit Card,3,144.84,434.52,43
ORD1591,2025-09-05,West,Electronics,Cash,9,336.98,3032.82,67
ORD1066,2025-01-04,East,Clothing,Credit Card,4,261.82,1159.44,67
ORD1057,2025-05-27,North,Grocery,Debit Card,7,129.18,904.26,43
ORD1240,2025-09-24,South,Grocery,Credit Card,1,55.88,55.88,63
ORD1523,2025-04-12,South,Furniture,Credit Card,9,346.55,3118.95,43
ORD1030,2025-07-03,East,Electronics,Cash,8,237.8,1902.4,51
ORD1281,2025-03-30,North,Electronics,Debit Card,7,283.9,1987.3,36
ORD1055,2025-09-21,North,Furniture,Debit Card,5,231.35,1156.75,23
ORD1381,2025-11-25,North,Furniture,Cash,4,311.75,1247.0,60
ORD1452,2025-06-16,South,Furniture,Credit Card,7,75.58,529.06,18
ORD1022,2025-01-28,West,Furniture,Debit Card,7,448.57,3139.99,43
ORD1379,2025-02-05,North,Furniture,Upi,6,134.54,807.24,52
ORD1214,2025-11-14,North,Grocery,Upi,3,177.17,531.51,51
ORD1440,2025-09-07,North,Electronics,Cash,7,360.2,2521.4,64
ORD1051,2025-01-13,West,Clothing,Credit Card,4,400.16,1600.64,18
ORD1046,2025-02-15,North,Grocery,Debit Card,9,261.82,4290.93,46
ORD1209,2025-11-25,North,Toys,Upi,9,198.63,1787.67,45
ORD1521,2025-01-25,South,Grocery,Credit Card,3,77.75,233.25,25
ORD1140,2025-06-02,North,Electronics,Upi,5,453.7,2268.5,68
ORD1558,2025-06-02,East,Toys,Credit Card,6,391.46,2348.76,42
ORD1514,2025-08-12,North,Electronics,Credit Card,7,261.39,1829.73,69
ORD1442,2025-06-10,East,Electronics,Upi,5,64.91,324.55,45
ORD1397,2025-03-13,North,Electronics,Cash,8,262.49,2099.92,37
ORD1465,2025-05-05,East,Toys,Upi,4,203.88,815.52,34
ORD1466,2025-04-09,West,Clothing,Cash,9,397.3,3575.7,36
ORD1252,2025-12-18,North,Grocery,Cash,3,341.71,1025.13,46
ORD1222,2025-07-07,North,Grocery,Cash,3,381.71,1145.13,27
ORD1392,2025-05-23,North,Furniture,Debit Card,9,282.29,2540.61,45
ORD1453,2025-07-12,East,Furniture,Cash,2,320.27,640.54,43
ORD1097,2025-06-26,North,Electronics,Upi,9,210.34,1893.06,18
ORD1467,2025-06-14,North,Toys,Debit Card,5,240.4,1202.0,53
ORD1561,2025-05-06,North,Electronics,Upi,9,101.64,914.76,30
ORD1458,2025-08-22,East,Clothing,Cash,5,148.18,740.9,54
ORD1023,2025-07-09,North,Electronics,Credit Card,9,409.92,3689.28,58
ORD1487,2025-08-21,South,Toys,Credit Card,5,111.24,556.2,36
ORD1355,2025-10-10,South,Electronics,Debit Card,6,273.41,1640.46,50
ORD1292,2025-11-08,North,Clothing,Credit Card,8,481.65,3853.2,21
ORD1300,2025-03-19,North,Toys,Credit Card,9,493.95,4419.98,52
ORD1580,2025-01-02,West,Clothing,Cash,6,76.25,457.5,56
ORD1242,2025-08-30,West,Electronics,Upi,1,48.49,48.49,30
ORD1588,2025-06-13,East,Electronics,Upi,4,364.23,1456.92,63
ORD1306,2025-05-29,South,Clothing,Cash,6,119.26,715.56,20
ORD1284,2025-09-22,East,Toys,Upi,8,261.95,2095.6,23
ORD1192,2025-11-11,East,Toys,Upi,4,423.05,1692.2,35
ORD1598,2025-12-11,East,Electronics,Debit Card,5,448.2,448.2,26
ORD1082,2025-01-05,North,Toys,Cash,3,292.75,878.25,43
ORD1576,2025-12-04,East,Clothing,Credit Card,9,10.68,96.12,46
ORD1232,2025-09-14,South,Furniture,Cash,2,110.49,220.98,66
ORD1401,2025-09-03,North,Electronics,Credit Card,7,483.73,3386.11,62
ORD1038,2025-04-26,East,Electronics,Debit Card,6,336.15,2016.9,52
ORD1549,2025-01-24,North,Furniture,Cash,2,438.56,877.12,43
ORD1010,2025-07-21,South,Furniture,Cash,5,287.37,2298.96,57
ORD1565,2025-03-19,South,Electronics,Cash,2,221.64,443.28,21
ORD1032,2025-12-15,North,Electronics,Debit Card,4,13.21,52.84,20
ORD1204,2025-02-28,West,Toys,Cash,5,416.17,2080.85,63
ORD1380,2025-08-08,South,Clothing,Cash,9,389.47,3505.23,61
ORD1431,2025-09-14,East,Electronics,Upi,1,24.68,24.68,23
ORD1414,2025-07-26,South,Electronics,Credit Card,6,337.01,2022.06,40
ORD1025,2025-06-21,East,Grocery,Cash,8,352.99,2823.92,66
ORD1305,2025-09-26,North,Furniture,Upi,5,39.62,198.1,49
ORD1586,2025-02-17,North,Grocery,Cash,4,352.06,1408.24,42
ORD1304,2025-06-13,East,Electronics,Credit Card,6,180.72,1084.32,21
ORD1322,2025-01-25,North,Toys,Upi,8,241.73,1933.84,21
ORD1089,2025-02-16,North,Electronics,Cash,1,315.64,315.64,20
ORD1065,2025-08-11,South,Clothing,Cash,5,271.99,271.99,62
ORD1377,2025-05-06,East,Clothing,Cash,1,391.21,391.21,53
ORD1340,2025-09-04,South,Grocery,Cash,8,117.35,938.8,34
ORD1193,2025-04-13,North,Grocery,Debit Card,5,443.07,886.14,60
ORD1289,2025-02-21,South,Grocery,Credit Card,3,292.56,877.68,59
ORD1430,2025-03-08,South,Furniture,Upi,8,302.32,2418.56,58
ORD1336,2025-02-03,West,Furniture,Upi,8,406.29,3250.32,46
ORD1228,2025-02-27,East,Clothing,Credit Card,2,498.58,997.16,34
ORD1357,2025-05-08,North,Clothing,Upi,8,127.11,1016.88,22
ORD1375,2025-02-04,North,Clothing,Cash,5,421.76,2108.8,54
ORD1040,2025-12-04,North,Grocery,Credit Card,9,92.08,828.72,21
ORD1449,2025-10-11,North,Grocery,Upi,4,338.12,1352.48,26
ORD1235,2025-12-15,West,Toys,Debit Card,3,96.8,290.4,43
ORD1318,2025-06-07,South,Grocery,Credit Card,9,261.82,1481.85,52
ORD1172,2025-12-08,West,Electronics,Upi,8,492.76,3942.08,40
ORD1277,2025-03-31,South,Furniture,Upi,2,304.45,608.9,26
ORD1525,2025-08-14,East,Toys,Upi,5,481.34,2406.7,23
ORD1572,2025-05-20,North,Electronics,Credit Card,9,439.6,4419.98,43
ORD1329,2025-12-25,West,Furniture,Credit Card,4,329.58,1318.32,55
ORD1244,2025-03-31,South,Clothing,Upi,2,25.39,50.78,61
ORD1056,2025-12-31,West,Grocery,Debit Card,2,260.57,521.14,47
ORD1217,2025-12-11,North,Clothing,Debit Card,5,98.66,591.96,22
ORD1071,2025-03-16,North,Furniture,Credit Card,5,483.95,2419.75,53
ORD1416,2025-01-30,East,Grocery,Debit Card,1,25.8,25.8,41
ORD1404,2025-10-08,West,Clothing,Credit Card,5,486.86,2434.3,45
ORD1090,2025-05-24,East,Electronics,Cash,8,200.29,1602.32,41
ORD1166,2025-09-21,South,Grocery,Cash,8,404.39,3235.12,33
ORD1285,2025-04-27,North,Clothing,Credit Card,5,202.42,1012.1,54
ORD1170,2025-01-11,South,Clothing,Cash,7,21.94,153.58,37
ORD1054,2025-11-01,West,Clothing,Cash,6,270.86,1625.16,54
ORD1394,2025-02-13,North,Clothing,Credit Card,3,57.21,171.63,69
ORD1330,2025-08-19,South,Toys,Debit Card,3,187.04,561.12,45
ORD1245,2025-11-01,East,Toys,Cash,6,299.41,1796.46,26
ORD1271,2025-07-04,East,Grocery,Upi,7,335.1,2345.7,37
ORD1378,2025-11-22,North,Furniture,Debit Card,9,376.93,3392.37,41
ORD1425,2025-12-23,East,Furniture,Credit Card,5,51.46,257.3,43
ORD1543,2025-10-05,South,Toys,Credit Card,5,292.9,1171.6,28
ORD1559,2025-02-20,West,Electronics,Credit Card,8,83.72,669.76,32
ORD1120,2025-07-21,East,Electronics,Credit Card,7,49.16,344.12,43
ORD1319,2025-03-07,East,Clothing,Cash,2,478.87,957.74,35
ORD1087,2025-11-08,North,Toys,Cash,5,26.48,132.4,38
ORD1188,2025-05-29,North,Toys,Cash,6,490.39,2942.34,35
ORD1343,2025-01-17,North,Furniture,Credit Card,8,261.82,4419.98,63
ORD1173,2025-05-08,North,Clothing,Cash,1,138.0,138.0,57
ORD1489,2025-05-28,South,Clothing,Debit Card,4,155.08,620.32,32
ORD1477,2025-07-08,East,Clothing,Cash,6,362.74,2176.44,27
ORD1530,2025-03-30,South,Grocery,Cash,6,11.45,68.7,23
ORD1439,2025-11-28,North,Toys,Credit Card,1,412.78,412.78,43
ORD1118,2025-01-14,East,Grocery,Cash,7,258.28,1807.96,64
ORD1119,2025-10-01,South,Grocery,Cash,9,370.02,3330.18,45
ORD1328,2025-09-09,North,Furniture,Debit Card,7,118.3,828.1,54
ORD1454,2025-05-06,East,Electronics,Credit Card,6,261.82,2545.98,25
ORD1243,2025-03-18,West,Clothing,Cash,7,70.69,494.83,56
ORD1138,2025-03-03,West,Electronics,Credit Card,9,343.08,3087.72,25
ORD1145,2025-04-28,South,Toys,Debit Card,8,303.96,2431.68,32
ORD1148,2025-12-26,South,Clothing,Cash,8,255.41,2043.28,42
ORD1344,2025-08-16,East,Furniture,Cash,7,393.0,2751.0,68
ORD1528,2025-11-29,South,Electronics,Debit Card,6,58.9,4419.98,21
ORD1162,2025-08-10,South,Grocery,Debit Card,5,170.51,170.51,56
ORD1597,2025-08-26,East,Clothing,Credit Card,9,107.08,963.72,60
ORD1114,2025-10-28,East,Electronics,Upi,9,243.17,2188.53,39
ORD1147,2025-08-31,West,Electronics,Upi,5,414.27,2071.35,27
ORD1150,2025-10-20,East,Clothing,Credit Card,9,214.94,1934.46,46
ORD1583,2025-05-14,East,Grocery,Upi,9,354.78,4419.98,65
ORD1390,2025-05-05,East,Furniture,Cash,3,30.72,92.16,66
ORD1382,2025-01-21,West,Clothing,Credit Card,7,47.78,334.46,32
ORD1031,2025-07-17,South,Grocery,Credit Card,9,163.79,1474.11,23
ORD1568,2025-01-13,South,Grocery,Cash,9,82.85,745.65,21
ORD1221,2025-02-15,East,Electronics,Credit Card,1,62.34,62.34,51
ORD1335,2025-07-07,East,Toys,Debit Card,7,78.87,552.09,21
ORD1020,2025-05-23,East,Toys,Credit Card,7,148.43,1039.01,39
ORD1473,2025-07-22,North,Grocery,Upi,1,433.46,433.46,31
ORD1113,2025-05-13,North,Furniture,Upi,2,68.73,137.46,43
ORD1372,2025-12-25,North,Clothing,Credit Card,9,284.95,2564.55,27
ORD1256,2025-03-07,East,Clothing,Debit Card,6,329.23,1975.38,43
ORD1445,2025-09-23,South,Clothing,Cash,6,62.29,373.74,56
ORD1313,2025-08-14,North,Furniture,Credit Card,7,135.24,946.68,19
ORD1074,2025-08-05,East,Electronics,Cash,1,269.49,269.49,37
ORD1358,2025-01-03,North,Furniture,Cash,2,106.0,212.0,27
ORD1540,2025-07-25,North,Clothing,Credit Card,4,196.23,784.92,44
ORD1002,2025-06-01,East,Toys,Upi,8,261.82,3336.48,55
ORD1592,2025-07-31,North,Electronics,Credit Card,7,29.76,208.32,69
ORD1058,2025-04-27,South,Electronics,Debit Card,5,33.81,169.05,18
ORD1519,2025-03-31,North,Toys,Credit Card,2,324.07,648.14,49
ORD1403,2025-02-28,East,Grocery,Credit Card,9,51.05,459.45,21
ORD1339,2025-04-07,South,Clothing,Upi,8,233.43,1867.44,28
ORD1004,2025-02-18,East,Grocery,Credit Card,5,194.32,582.96,69
ORD1278,2025-06-10,North,Electronics,Credit Card,9,49.79,448.11,48
ORD1080,2025-05-26,East,Furniture,Credit Card,1,55.06,55.06,24
ORD1026,2025-11-14,North,Clothing,Debit Card,7,251.14,1757.98,66
ORD1216,2025-12-02,West,Electronics,Cash,9,170.33,1532.97,62
ORD1410,2025-03-07,North,Furniture,Cash,9,329.36,2964.24,18
ORD1511,2025-01-17,West,Furniture,Credit Card,5,481.93,4337.37,43
ORD1014,2025-10-16,East,Toys,Upi,7,261.82,2290.96,45
ORD1174,2025-08-25,North,Electronics,Cash,6,418.29,2509.74,21
ORD1086,2025-11-13,East,Electronics,Credit Card,3,293.77,881.31,66
ORD1539,2025-04-27,South,Grocery,Cash,1,224.96,224.96,43
ORD1059,2025-08-27,South,Electronics,Credit Card,5,320.94,1604.7,56
ORD1533,2025-04-04,North,Grocery,Credit Card,4,284.72,1138.88,39
ORD1164,2025-02-24,West,Clothing,Credit Card,8,18.41,147.28,20
ORD1360,2025-03-27,South,Clothing,Upi,6,417.18,2503.08,31
ORD1041,2025-10-16,South,Toys,Debit Card,8,326.57,2612.56,24
ORD1346,2025-11-25,South,Clothing,Credit Card,1,131.43,131.43,21
ORD1079,2025-08-11,North,Toys,Cash,7,275.23,1926.61,28
ORD1367,2025-06-07,South,Grocery,Debit Card,3,251.64,754.92,63
ORD1028,2025-02-23,East,Toys,Credit Card,1,123.58,123.58,19
ORD1480,2025-10-09,North,Grocery,Credit Card,4,417.9,1671.6,18
ORD1406,2025-12-30,West,Electronics,Credit Card,8,249.64,4419.98,20
ORD1541,2025-03-23,North,Electronics,Upi,1,99.84,99.84,62
ORD1351,2025-08-01,West,Grocery,Cash,1,324.68,324.68,52
ORD1084,2025-10-19,South,Furniture,Cash,6,354.02,2124.12,27
ORD1062,2025-03-10,East,Electronics,Cash,4,91.79,367.16,43
ORD1599,2025-12-04,East,Toys,Upi,6,216.66,1299.96,53
ORD1136,2025-01-01,South,Furniture,Credit Card,8,414.83,3318.64,54
ORD1111,2025-07-03,North,Grocery,Cash,2,302.96,605.92,68
ORD1194,2025-07-02,East,Furniture,Credit Card,4,396.41,1585.64,42
ORD1479,2025-07-03,South,Electronics,Cash,3,498.92,1496.76,25
ORD1043,2025-08-26,South,Toys,Cash,6,453.52,2721.12,44
ORD1395,2025-10-06,North,Grocery,Upi,5,223.33,669.99,28
ORD1129,2025-10-27,North,Clothing,Cash,4,215.59,862.36,50
ORD1415,2025-04-01,South,Furniture,Credit Card,8,68.78,550.24,36
ORD1218,2025-08-23,North,Clothing,Credit Card,3,440.14,1320.42,59
ORD1096,2025-06-26,East,Toys,Upi,9,485.11,4365.99,44
ORD1124,2025-11-16,South,Grocery,Cash,6,304.86,1829.16,50
ORD1582,2025-03-25,East,Clothing,Cash,5,12.48,62.4,20
ORD1226,2025-10-12,West,Furniture,Cash,3,299.23,897.69,29
ORD1177,2025-01-17,North,Electronics,Cash,7,57.76,404.32,39
ORD1492,2025-12-27,West,Electronics,Credit Card,1,258.01,258.01,43
ORD1594,2025-10-23,East,Toys,Upi,3,111.6,334.8,50
ORD1581,2025-08-07,North,Furniture,Cash,9,50.57,455.13,61
ORD1103,2025-11-02,West,Electronics,Cash,5,48.76,243.8,34
ORD1081,2025-06-23,North,Clothing,Credit Card,2,446.49,892.98,19
ORD1359,2025-10-29,East,Grocery,Cash,2,261.82,361.84,30
ORD1506,2025-09-20,West,Clothing,Cash,6,324.19,1945.14,38
ORD1264,2025-04-03,South,Furniture,Credit Card,9,218.29,1964.61,37
ORD1323,2025-01-25,East,Furniture,Credit Card,4,222.56,890.24,23
ORD1227,2025-01-07,North,Grocery,Credit Card,6,189.06,1134.36,49
ORD1301,2025-09-20,North,Clothing,Cash,6,225.67,1354.02,58
ORD1275,2025-05-16,East,Electronics,Debit Card,8,398.78,3190.24,21
ORD1585,2025-03-24,South,Electronics,Upi,5,472.64,2363.2,39
ORD1263,2025-10-28,East,Grocery,Upi,3,223.8,671.4,33
ORD1547,2025-04-22,East,Furniture,Cash,9,185.36,1668.24,32
ORD1490,2025-01-22,South,Furniture,Credit Card,7,361.72,2532.04,29
ORD1253,2025-07-26,North,Electronics,Credit Card,5,364.95,1824.75,41
ORD1171,2025-09-18,North,Electronics,Upi,5,150.76,753.8,69
ORD1237,2025-11-15,South,Toys,Credit Card,2,399.79,799.58,28
ORD1411,2025-09-04,East,Grocery,Debit Card,9,261.82,1005.21,32
ORD1139,2025-10-22,South,Grocery,Credit Card,6,272.19,1633.14,32
ORD1303,2025-02-11,North,Toys,Cash,4,47.4,189.6,50
ORD1267,2025-04-30,West,Furniture,Cash,4,138.53,554.12,19
ORD1555,2025-02-16,South,Furniture,Cash,5,273.52,1367.6,25
ORD1478,2025-10-25,South,Toys,Debit Card,2,170.04,340.08,52
ORD1212,2025-02-07,East,Toys,Upi,5,45.12,90.24,65
ORD1198,2025-07-04,West,Electronics,Upi,9,171.5,1543.5,37
ORD1538,2025-02-03,East,Electronics,Credit Card,7,189.0,1323.0,37
ORD1015,2025-05-15,North,Furniture,Upi,1,36.46,36.46,40
ORD1163,2025-05-11,South,Clothing,Cash,2,207.32,414.64,40
ORD1457,2025-03-16,North,Furniture,Credit Card,6,463.19,2779.14,43
ORD1513,2025-10-10,South,Toys,Upi,5,64.5,580.5,23
ORD1429,2025-06-28,North,Furniture,Debit Card,4,195.33,781.32,62
ORD1037,2025-08-21,East,Grocery,Cash,4,444.11,1776.44,50
ORD1527,2025-01-08,West,Toys,Cash,1,72.81,72.81,28
ORD1206,2025-09-19,North,Toys,Cash,7,442.47,3097.29,52
ORD1295,2025-01-10,South,Electronics,Credit Card,8,386.12,3088.96,66
ORD1073,2025-04-06,East,Toys,Debit Card,1,341.52,341.52,40
ORD1408,2025-06-12,West,Clothing,Credit Card,3,227.92,683.76,28
ORD1104,2025-04-22,East,Toys,Credit Card,2,403.5,807.0,56
ORD1464,2025-01-21,West,Grocery,Debit Card,3,86.79,260.37,41
ORD1016,2025-03-03,North,Grocery,Debit Card,8,140.99,1127.92,52
ORD1091,2025-06-05,North,Electronics,Debit Card,5,234.53,938.12,67
ORD1088,2025-07-22,West,Toys,Debit Card,3,349.23,1047.69,35
ORD1433,2025-08-29,East,Grocery,Credit Card,4,107.46,429.84,30
ORD1205,2025-11-26,East,Clothing,Credit Card,9,97.29,875.61,20
ORD1102,2025-04-05,East,Clothing,Upi,2,240.72,481.44,20
ORD1238,2025-03-05,North,Electronics,Credit Card,2,341.83,4419.98,35
ORD1386,2025-06-10,South,Toys,Debit Card,9,426.05,3834.45,43
ORD1246,2025-12-25,East,Electronics,Upi,8,473.94,3791.52,45
ORD1157,2025-05-30,South,Furniture,Upi,5,260.01,1300.05,34
ORD1326,2025-09-24,South,Toys,Credit Card,7,123.39,863.73,52
ORD1133,2025-03-25,North,Toys,Credit Card,1,62.76,62.76,32
ORD1418,2025-07-20,West,Furniture,Credit Card,7,312.57,2187.99,26
ORD1437,2025-01-17,North,Grocery,Cash,7,289.52,2026.64,56
ORD1018,2025-12-25,East,Electronics,Upi,5,20.56,61.68,56
ORD1534,2025-04-03,South,Furniture,Credit Card,5,9.47,47.35,54
ORD1149,2025-04-21,West,Grocery,Debit Card,4,459.78,1839.12,43
ORD1461,2025-05-06,West,Electronics,Credit Card,6,273.0,1638.0,43
ORD1274,2025-10-17,North,Clothing,Cash,2,125.85,251.7,43
ORD1484,2025-05-03,South,Clothing,Credit Card,7,421.83,2952.81,33
ORD1548,2025-07-14,East,Grocery,Credit Card,4,348.34,1393.36,41
ORD1311,2025-04-28,North,Furniture,Debit Card,1,421.81,421.81,38
ORD1423,2025-12-27,North,Electronics,Credit Card,1,146.22,146.22,29
ORD1268,2025-10-20,West,Clothing,Credit Card,1,261.82,65.44,23
ORD1034,2025-12-04,North,Grocery,Debit Card,9,61.17,550.53,40
ORD1181,2025-09-24,East,Furniture,Credit Card,7,307.15,2150.05,51
ORD1184,2025-03-14,North,Electronics,Credit Card,9,353.94,3185.46,57
ORD1207,2025-01-20,South,Electronics,Credit Card,3,380.33,1140.99,34
ORD1578,2025-03-23,South,Furniture,Credit Card,1,176.53,176.53,29
ORD1094,2025-09-13,North,Electronics,Upi,8,438.95,3511.6,62
ORD1531,2025-09-17,West,Grocery,Credit Card,2,350.66,701.32,60
ORD1563,2025-03-17,East,Toys,Credit Card,1,193.36,193.36,32
ORD1353,2025-05-29,South,Furniture,Cash,6,377.83,2266.98,42
ORD1122,2025-08-21,North,Clothing,Debit Card,6,295.49,1772.94,25
ORD1369,2025-07-11,East,Toys,Debit Card,7,369.08,2583.56,50
ORD1493,2025-10-01,South,Electronics,Upi,8,6.89,55.12,22
ORD1364,2025-12-25,North,Clothing,Cash,4,94.75,379.0,62
ORD1078,2025-02-22,East,Electronics,Credit Card,5,249.74,1248.7,56
ORD1350,2025-06-02,East,Furniture,Upi,5,86.02,774.18,69
